id;amount;status;from_card;to_card;created_at;updated_at
1;2849;SUCCES;approach Polarised;Facilitator;2023-03-15T12:44:15;2023-03-15T13:47:51
2;29433;FAIL;Shilling;cross-platform grow;2023-03-16T12:10:14;2023-03-15T21:26:26
3;78266;FAIL;Garden scale;Innovative SQL Checking;2023-03-15T13:18:17;2023-03-16T10:16:40
4;3216;SUCCES;payment Zimbabwe;up;2023-03-15T16:24:48;2023-03-16T06:24:47
5;72941;FAIL;invoice;navigating virtual;2023-03-16T10:04:49;2023-03-16T11:58:08
6;99687;SUCCES;grey end-to-end optimize;Luxembourg;2023-03-16T08:16:42;2023-03-15T16:22:04
7;88371;SUCCES;Regional withdrawal Cloned;clear-thinking Fish Island;2023-03-15T17:38:00;2023-03-15T16:20:57
8;52956;FAIL;IB Alabama port;Dynamic generation maximize;2023-03-15T18:25:54;2023-03-16T00:55:29
9;91628;FAIL;Forward Berkshire Carolina;Avon;2023-03-15T23:24:36;2023-03-15T16:11:30
10;94028;FAIL;Architect holistic magenta;Indonesia;2023-03-15T15:40:40;2023-03-15T20:12:56
